intermediary	owner_named	method_named	owner_in_26.2	method_in_26.2
method_22348	net/minecraft/world/level/LevelReader	canSeeSkyFromBelowWater	yes	yes
method_22488	net/minecraft/world/level/block/state/BlockBehaviour$Properties	noOcclusion	yes	yes
method_22903	com/mojang/blaze3d/vertex/PoseStack	pushPose	yes	yes
method_22904	com/mojang/blaze3d/vertex/PoseStack	translate	yes	yes
method_22905	com/mojang/blaze3d/vertex/PoseStack	scale	yes	yes
method_22907	com/mojang/blaze3d/vertex/PoseStack	mulPose	yes	yes
method_22909	com/mojang/blaze3d/vertex/PoseStack	popPose	yes	yes
method_22913	com/mojang/blaze3d/vertex/VertexConsumer	setUv	yes	yes
method_22922	com/mojang/blaze3d/vertex/VertexConsumer	setOverlay	yes	yes
method_23093	net/minecraft/client/renderer/culling/Frustum	isVisible	yes	yes
method_23317	net/minecraft/world/entity/Entity	getX	yes	yes
method_23318	net/minecraft/world/entity/Entity	getY	yes	yes
method_23321	net/minecraft/world/entity/Entity	getZ	yes	yes
method_23481	net/minecraft/client/KeyMapping	setDown	yes	yes
method_23886	net/minecraft/world/level/Level	isDarkOutside	yes	yes
method_24515	net/minecraft/world/level/entity/EntityAccess	blockPosition	yes	yes
method_24830	net/minecraft/world/entity/Entity	setOnGround	yes	yes
method_24852	net/minecraft/world/level/BlockAndTintGetter	getShade	NO	NO
method_24876	net/minecraft/client/resources/sounds/AbstractTickableSoundInstance	stop	yes	yes
method_24953	net/minecraft/world/phys/Vec3	atCenterOf	yes	yes
method_25294	net/minecraft/client/gui/GuiGraphics	fill	NO	NO
method_26204	net/minecraft/world/level/block/state/BlockBehaviour$BlockStateBase	getBlock	yes	yes
method_26205	net/minecraft/world/level/block/state/BlockBehaviour$BlockStateBase	getMapColor	yes	yes
method_26214	net/minecraft/world/level/block/state/BlockBehaviour$BlockStateBase	getDestroySpeed	yes	yes
method_26215	net/minecraft/world/level/block/state/BlockBehaviour$BlockStateBase	isAir	yes	yes
method_26220	net/minecraft/world/level/block/state/BlockBehaviour$BlockStateBase	getCollisionShape	yes	yes
method_26225	net/minecraft/world/level/block/state/BlockBehaviour$BlockStateBase	canOcclude	yes	yes
method_26234	net/minecraft/world/level/block/state/BlockBehaviour$BlockStateBase	isCollisionShapeFullBlock	yes	yes
method_26403	net/minecraft/world/level/block/state/BlockBehaviour	defaultMapColor	yes	yes
method_27299	net/minecraft/world/entity/EntityType$Builder	clientTrackingRange	yes	yes
method_27300	net/minecraft/world/entity/EntityType$Builder	updateInterval	yes	yes
method_27852	net/minecraft/world/level/block/state/BlockBehaviour$BlockStateBase	is	yes	yes
method_27909	net/minecraft/server/level/ServerLevel	getAllEntities	yes	yes
method_27983	net/minecraft/world/level/Level	dimension	yes	yes
method_2910	net/minecraft/client/multiplayer/MultiPlayerGameMode	startDestroyBlock	yes	yes
method_29179	net/minecraft/resources/ResourceKey	create	yes	yes
method_2925	net/minecraft/client/multiplayer/MultiPlayerGameMode	stopDestroyBlock	yes	yes
method_29998	net/minecraft/world/item/ItemDisplayContext	firstPerson	yes	yes
method_30002	net/minecraft/server/MinecraftServer	overworld	yes	yes
method_30229	net/minecraft/world/entity/Entity	setPortalCooldown	yes	yes
method_30230	net/minecraft/world/entity/Entity	isOnPortalCooldown	yes	yes
method_30349	net/minecraft/world/level/LevelReader	registryAccess	yes	yes
method_30948	net/minecraft/world/entity/Entity	canBeCollidedWith	yes	yes
method_30949	net/minecraft/world/entity/Entity	canCollideWith	yes	yes
method_31472	net/minecraft/world/entity/Entity	discard	yes	yes
method_31481	net/minecraft/world/entity/vehicle/ContainerEntity	isRemoved	yes	yes
method_31548	net/minecraft/world/entity/player/Player	getInventory	yes	yes
method_31574	net/minecraft/world/item/ItemStack	is	yes	yes
method_31600	net/minecraft/world/level/LevelHeightAccessor	getMaxY	yes	yes
method_31607	net/minecraft/world/level/LevelHeightAccessor	getMinY	yes	yes
method_31709	net/minecraft/world/level/block/state/BlockBehaviour$BlockStateBase	hasBlockEntity	yes	yes
method_31710	net/minecraft/world/level/block/state/BlockBehaviour$Properties	mapColor	yes	yes
method_31746	net/minecraft/world/level/entity/EntityAccess	shouldBeSaved	yes	yes
method_32173	net/minecraft/client/renderer/entity/EntityRenderers	register	yes	yes
method_3228	net/minecraft/client/renderer/ItemInHandRenderer	renderArmWithItem	yes	NO
method_3233	net/minecraft/client/renderer/ItemInHandRenderer	renderItem	yes	yes
method_33133	net/minecraft/nbt/CompoundTag	isEmpty	yes	yes
method_33571	net/minecraft/world/entity/Entity	getEyePosition	yes	yes
method_36454	net/minecraft/world/entity/Entity	getYRot	yes	yes
method_36455	net/minecraft/world/entity/Entity	getXRot	yes	yes
method_36456	net/minecraft/world/entity/Entity	setYRot	yes	yes
method_36457	net/minecraft/world/entity/Entity	setXRot	yes	yes
method_3738	net/minecraft/server/MinecraftServer	getAllLevels	yes	yes
method_3760	net/minecraft/server/MinecraftServer	getPlayerList	yes	yes
method_38235	net/minecraft/world/level/block/entity/BlockEntity	getUpdatePacket	yes	yes
method_38244	net/minecraft/world/level/block/entity/BlockEntity	saveWithoutMetadata	yes	yes
method_38585	net/minecraft/network/protocol/game/ClientboundBlockEntityDataPacket	create	yes	yes
method_3933	net/minecraft/client/renderer/entity/EntityRenderer	shouldRender	yes	yes
method_3936	net/minecraft/client/renderer/entity/EntityRenderer	submit	yes	yes
method_40005	net/minecraft/world/entity/item/FallingBlockEntity	fall	yes	yes
method_43047	net/minecraft/util/RandomSource	create	yes	yes
method_43055	net/minecraft/util/RandomSource	nextLong	yes	yes
method_43058	net/minecraft/util/RandomSource	nextDouble	yes	yes
method_43470	net/minecraft/network/chat/Component	literal	yes	yes
method_45421	net/minecraft/world/item/CreativeModeTab$Output	accept	yes	yes
method_46416	com/mojang/blaze3d/vertex/PoseStack	translate	yes	yes
method_46651	net/minecraft/world/item/ItemStack	copyWithCount	yes	yes
method_47908	net/minecraft/sounds/SoundEvent	createVariableRangeEvent	yes	yes
method_4793	net/minecraft/client/resources/sounds/TickableSoundInstance	isStopped	yes	yes
method_47983	net/minecraft/core/Registry	wrapAsHolder	yes	yes
method_48105	net/minecraft/world/entity/Entity	teleportTo	yes	yes
method_4870	net/minecraft/client/sounds/SoundManager	stop	yes	yes
method_4873	net/minecraft/client/sounds/SoundManager	play	yes	yes
method_49108	net/minecraft/world/entity/Entity	canBeHitByProjectile	yes	yes
method_49638	net/minecraft/core/BlockPos	containing	yes	yes
method_51421	net/minecraft/client/gui/GuiGraphics	guiWidth	NO	NO
method_51443	net/minecraft/client/gui/GuiGraphics	guiHeight	NO	NO
method_51469	net/minecraft/server/level/ServerPlayer	level	yes	yes
method_53002	net/minecraft/network/FriendlyByteBuf	writeInt	yes	yes
method_53969	net/minecraft/world/level/block/state/BlockBehaviour	codec	yes	yes
method_54094	net/minecraft/world/level/block/state/BlockBehaviour	simpleCodec	yes	yes
method_5431	net/minecraft/world/Container	setChanged	yes	yes
method_5449	net/minecraft/world/Containers	dropItemStack	yes	yes
method_5477	net/minecraft/world/Nameable	getName	yes	yes
method_55765	net/minecraft/world/level/block/state/BlockBehaviour	useItemOn	yes	yes
method_55766	net/minecraft/world/level/block/state/BlockBehaviour	useWithoutItem	yes	yes
method_5624	net/minecraft/world/entity/Entity	isSprinting	yes	yes
method_5628	net/minecraft/world/level/entity/EntityAccess	getId	yes	yes
method_5636	net/minecraft/world/entity/Entity	setYBodyRot	yes	yes
method_56431	net/minecraft/network/codec/StreamCodec	unit	yes	yes
method_56434	net/minecraft/network/codec/StreamCodec	composite	yes	yes
method_56435	net/minecraft/network/codec/StreamCodec	composite	yes	yes
method_56438	net/minecraft/network/codec/StreamCodec	ofMember	yes	yes
method_56479	net/minecraft/network/protocol/common/custom/CustomPacketPayload	type	yes	yes
method_5652	net/minecraft/world/entity/Entity	addAdditionalSaveData	yes	yes
method_5667	net/minecraft/world/level/entity/UniquelyIdentifyable	getUUID	yes	yes
method_56824	com/mojang/blaze3d/vertex/VertexConsumer	addVertex	yes	yes
method_56912	net/minecraft/network/syncher/SynchedEntityData$Builder	define	yes	yes
method_5693	net/minecraft/world/entity/Entity	defineSynchedData	yes	yes
method_57008	net/minecraft/world/item/ItemStack	consume	yes	yes
method_5705	net/minecraft/world/entity/Entity	getViewYRot	yes	yes
method_5731	net/minecraft/world/entity/Entity	teleport	yes	yes
method_57349	net/minecraft/world/item/Item$Properties	component	yes	yes
method_57379	net/minecraft/world/item/ItemStack	set	yes	yes
method_5738	net/minecraft/world/entity/Entity	removeTag	yes	yes
method_57381	net/minecraft/world/item/ItemStack	remove	yes	yes
method_5739	net/minecraft/world/entity/Entity	distanceTo	yes	yes
method_5745	net/minecraft/world/entity/Entity	pick	yes	yes
method_57456	net/minecraft/world/item/component/CustomData	of	yes	yes
method_57461	net/minecraft/world/item/component/CustomData	copyTag	yes	yes
method_5749	net/minecraft/world/entity/Entity	readAdditionalSaveData	yes	yes
method_5752	net/minecraft/world/entity/Entity	getTags	yes	NO
method_5765	net/minecraft/world/entity/Entity	isPassenger	yes	yes
method_5768	net/minecraft/world/entity/Entity	kill	yes	yes
method_5773	net/minecraft/world/entity/Entity	tick	yes	yes
method_5780	net/minecraft/world/entity/Entity	addTag	yes	yes
method_5782	net/minecraft/world/entity/Entity	isVehicle	yes	yes
method_5783	net/minecraft/world/entity/Entity	playSound	yes	yes
method_5805	net/minecraft/world/entity/Entity	isAlive	yes	yes
method_5808	net/minecraft/world/entity/Entity	snapTo	yes	yes
method_58149	net/minecraft/world/entity/Entity	getNearestViewDirection	yes	yes
method_5828	net/minecraft/world/entity/Entity	getViewVector	yes	yes
method_5829	net/minecraft/world/entity/vehicle/ContainerEntity	getBoundingBox	yes	yes
method_5836	net/minecraft/world/entity/Entity	getEyePosition	yes	yes
method_5847	net/minecraft/world/entity/Entity	setYHeadRot	yes	yes
method_5848	net/minecraft/world/entity/Entity	stopRiding	yes	yes
method_5858	net/minecraft/world/entity/Entity	distanceToSqr	yes	yes
method_5859	net/minecraft/world/entity/Entity	teleportTo	yes	yes
method_5863	net/minecraft/world/entity/Entity	isPickable	yes	yes
method_58694	net/minecraft/core/component/DataComponentGetter	get	yes	yes
method_5875	net/minecraft/world/entity/Entity	setNoGravity	yes	yes
method_5901	net/minecraft/world/entity/EntityType$Builder	noSummon	yes	yes
method_5903	net/minecraft/world/entity/EntityType$Builder	of	yes	yes
method_5904	net/minecraft/world/entity/EntityType$Builder	noSave	yes	yes
method_5905	net/minecraft/world/entity/EntityType$Builder	build	yes	yes
method_5928	net/minecraft/world/entity/HumanoidArm	getOpposite	yes	yes
method_59860	net/minecraft/world/entity/projectile/Projectile	hitTargetOrDeflectSelf	yes	yes
method_59922	net/minecraft/world/entity/Entity	getRandom	yes	yes
method_5998	net/minecraft/world/entity/LivingEntity	getItemInHand	yes	yes
method_6047	net/minecraft/world/entity/LivingEntity	getMainHandItem	yes	yes
method_60511	net/minecraft/world/level/Level	playSound	yes	yes
method_60655	net/minecraft/resources/Identifier	fromNamespaceAndPath	yes	yes
method_6068	net/minecraft/world/entity/LivingEntity	getMainArm	yes	yes
method_6075	net/minecraft/world/entity/LivingEntity	releaseUsingItem	yes	yes
method_6079	net/minecraft/world/entity/LivingEntity	getOffhandItem	yes	yes
method_60803	com/mojang/blaze3d/vertex/VertexConsumer	setLight	yes	yes
method_60831	com/mojang/blaze3d/vertex/VertexConsumer	setNormal	yes	yes
method_62354	net/minecraft/client/renderer/entity/EntityRenderer	extractRenderState	yes	yes
method_63500	net/minecraft/world/level/block/state/BlockBehaviour$Properties	setId	yes	yes
method_63685	net/minecraft/world/item/Item$Properties	useBlockDescriptionPrefix	yes	yes
method_63686	net/minecraft/world/item/Item$Properties	setId	yes	yes
method_64397	net/minecraft/world/entity/Entity	hurtServer	yes	yes
method_64615	net/minecraft/world/entity/Entity	onRemoval	yes	yes
method_65058	net/minecraft/world/entity/projectile/arrow/AbstractArrow	setInGround	yes	yes
method_65096	net/minecraft/server/level/ServerLevel	sendParticles	yes	yes
method_65325	net/minecraft/util/ExtraCodecs$LateBoundIdMapper	put	yes	yes
method_65598	net/minecraft/client/renderer/item/ItemModelResolver	updateForTopItem	yes	yes
method_65604	net/minecraft/client/renderer/item/ItemStackRenderState	submit	yes	yes
method_65696	net/minecraft/client/renderer/special/SpecialModelRenderer$Unbaked	type	yes	yes
method_65698	net/minecraft/client/renderer/special/SpecialModelRenderer$Unbaked	bake	yes	yes
method_65910	net/minecraft/client/renderer/ItemInHandRenderer	shouldInstantlyReplaceVisibleItem	yes	yes
method_66347	net/minecraft/world/level/Level	getEntity	yes	yes
method_66388	net/minecraft/world/level/block/state/BlockBehaviour	affectNeighborsAfterRemoval	yes	yes
method_67233	net/minecraft/world/level/Level	getClientLeafTintColor	yes	yes
method_67675	net/minecraft/world/item/ItemDisplayContext	leftHand	yes	yes
method_68083	net/minecraft/nbt/CompoundTag	getIntOr	yes	yes
method_68566	net/minecraft/nbt/CompoundTag	getBooleanOr	yes	yes
method_68878	net/minecraft/world/entity/player/Player	isCreative	yes	yes
method_71426	net/minecraft/world/level/storage/ValueInput	read	yes	yes
method_71428	net/minecraft/world/level/storage/ValueInput	getStringOr	yes	yes
method_71433	net/minecraft/world/level/storage/ValueInput	getBooleanOr	yes	yes
method_71440	net/minecraft/world/level/storage/ValueInput	getLong	yes	yes
method_71466	net/minecraft/world/level/storage/ValueOutput	putLong	yes	yes
method_71468	net/minecraft/world/level/storage/ValueOutput	store	yes	yes
method_71469	net/minecraft/world/level/storage/ValueOutput	putString	yes	yes
method_71472	net/minecraft/world/level/storage/ValueOutput	putBoolean	yes	yes
method_72175	net/minecraft/client/renderer/special/SpecialModelRenderer	getExtents	yes	yes
method_73183	net/minecraft/world/entity/ItemOwner	level	yes	yes
method_73188	net/minecraft/world/entity/ItemOwner	getVisualRotationYInDegrees	yes	yes
method_73189	net/minecraft/world/entity/ItemOwner	position	yes	yes
method_7325	net/minecraft/world/entity/Entity	isSpectator	yes	yes
method_7328	net/minecraft/world/entity/player/Player	drop	yes	yes
method_73483	net/minecraft/client/renderer/OrderedSubmitNodeCollector	submitCustomGeometry	yes	yes
method_7353	net/minecraft/world/entity/player/Player	displayClientMessage	yes	NO
method_7394	net/minecraft/world/entity/player/Inventory	add	yes	yes
method_74331	net/minecraft/client/renderer/blockentity/BlockEntityRenderer	extractRenderState	yes	yes
method_74698	net/minecraft/client/KeyMapping$Category	register	yes	yes
method_7485	net/minecraft/world/entity/projectile/Projectile	shoot	yes	yes
method_75037	net/minecraft/server/permissions/PermissionSetSupplier	permissions	yes	yes
method_75260	net/minecraft/world/level/LevelAccessor	getGameTime	yes	yes
method_75994	net/minecraft/client/renderer/rendertype/RenderTypes	entityCutoutNoCull	yes	NO
method_76002	net/minecraft/client/renderer/rendertype/RenderTypes	entityTranslucentEmissive	yes	yes
method_76333	net/minecraft/world/entity/Entity	getKnownSpeed	yes	yes
method_7836	net/minecraft/world/item/Item	use	yes	yes
method_7888	net/minecraft/world/item/Item	inventoryTick	yes	yes
method_7889	net/minecraft/world/item/Item$Properties	stacksTo	yes	yes
method_7909	net/minecraft/world/item/ItemStack	getItem	yes	yes
method_7939	net/minecraft/world/item/ItemStack	setCount	yes	yes
method_7960	net/minecraft/world/item/ItemStack	isEmpty	yes	yes
method_8042	net/minecraft/world/item/context/UseOnContext	getHorizontalDirection	yes	yes
method_8320	net/minecraft/world/level/BlockGetter	getBlockState	yes	yes
method_8321	net/minecraft/world/level/BlockGetter	getBlockEntity	yes	yes
method_8333	net/minecraft/world/level/EntityGetter	getEntities	yes	yes
method_8335	net/minecraft/world/level/EntityGetter	getEntities	yes	yes
method_8390	net/minecraft/world/level/EntityGetter	getEntitiesOfClass	yes	yes
method_8406	net/minecraft/world/level/LevelAccessor	addParticle	yes	yes
method_8413	net/minecraft/world/level/Level	sendBlockUpdated	yes	yes
method_8477	net/minecraft/world/level/Level	isLoaded	yes	yes
method_8503	net/minecraft/world/level/LevelAccessor	getServer	yes	yes
method_8532	net/minecraft/world/level/Level	getDayTime	yes	NO
method_8587	net/minecraft/world/level/CollisionGetter	noCollision	yes	yes
method_8608	net/minecraft/world/level/LevelReader	isClientSide	yes	yes
method_8649	net/minecraft/world/level/LevelWriter	addFreshEntity	yes	yes
method_9207	net/minecraft/commands/CommandSourceStack	getPlayerOrException	yes	yes
method_9211	net/minecraft/commands/CommandSourceStack	getServer	yes	yes
method_9226	net/minecraft/commands/CommandSourceStack	sendSuccess	yes	yes
method_9247	net/minecraft/commands/Commands	literal	yes	yes
method_9515	net/minecraft/world/level/block/Block	createBlockStateDefinition	yes	yes
method_9530	net/minecraft/world/level/block/state/BlockBehaviour	getShape	yes	yes
method_9541	net/minecraft/world/level/block/Block	box	yes	yes
method_9549	net/minecraft/world/level/block/state/BlockBehaviour	getCollisionShape	yes	yes
method_9564	net/minecraft/world/level/block/Block	defaultBlockState	yes	yes
method_9590	net/minecraft/world/level/block/Block	registerDefaultState	yes	yes
method_9595	net/minecraft/world/level/block/Block	getStateDefinition	yes	yes
method_9604	net/minecraft/world/level/block/state/BlockBehaviour	getRenderShape	yes	yes
method_9605	net/minecraft/world/level/block/Block	getStateForPlacement	yes	yes
method_9626	net/minecraft/world/level/block/state/BlockBehaviour$Properties	sound	yes	yes
method_9629	net/minecraft/world/level/block/state/BlockBehaviour$Properties	strength	yes	yes
method_9637	net/minecraft/world/level/block/state/BlockBehaviour$Properties	of	yes	yes
method_989	net/minecraft/world/phys/AABB	move	yes	yes
method_992	net/minecraft/world/phys/AABB	clip	yes	yes
method_994	net/minecraft/world/phys/AABB	intersects	yes	yes
