intermediary	owner_named	field_named	owner_in_26.2	field_in_26.2
field_52423	net/minecraft/world/InteractionResult	TRY_WITH_EMPTY_HAND	yes	yes
field_5439	net/minecraft/client/resources/sounds/AbstractSoundInstance	x	yes	yes
field_5440	net/minecraft/client/resources/sounds/AbstractSoundInstance	attenuation	yes	yes
field_5441	net/minecraft/client/resources/sounds/AbstractSoundInstance	pitch	yes	yes
field_5442	net/minecraft/client/resources/sounds/AbstractSoundInstance	volume	yes	yes
field_5446	net/minecraft/client/resources/sounds/AbstractSoundInstance	looping	yes	yes
field_5449	net/minecraft/client/resources/sounds/AbstractSoundInstance	z	yes	yes
field_5450	net/minecraft/client/resources/sounds/AbstractSoundInstance	y	yes	yes
field_5451	net/minecraft/client/resources/sounds/AbstractSoundInstance	delay	yes	yes
field_5478	net/minecraft/client/resources/sounds/SoundInstance$Attenuation	NONE	yes	yes
field_55453	net/minecraft/client/renderer/special/SpecialModelRenderers	ID_MAPPER	yes	yes
field_5808	net/minecraft/world/InteractionHand	MAIN_HAND	yes	yes
field_5811	net/minecraft/world/InteractionResult	PASS	yes	yes
field_5812	net/minecraft/world/InteractionResult	SUCCESS	yes	yes
field_5814	net/minecraft/world/InteractionResult	FAIL	yes	yes
field_5960	net/minecraft/world/entity/Entity	noPhysics	yes	yes
field_5969	net/minecraft/world/entity/Entity	zo	yes	yes
field_6011	net/minecraft/world/entity/Entity	entityData	yes	yes
field_6014	net/minecraft/world/entity/Entity	xo	yes	yes
field_6017	net/minecraft/world/entity/Entity	fallDistance	yes	yes
field_6036	net/minecraft/world/entity/Entity	yo	yes	yes
field_61820	net/minecraft/client/renderer/entity/state/EntityRenderState	lightCoords	yes	yes
field_6183	net/minecraft/world/entity/HumanoidArm	RIGHT	yes	yes
field_6229	net/minecraft/world/entity/LivingEntity	oAttackAnim	yes	yes
field_6251	net/minecraft/world/entity/LivingEntity	attackAnim	yes	yes
field_6252	net/minecraft/world/entity/LivingEntity	swinging	yes	yes
field_62676	net/minecraft/client/renderer/blockentity/state/BlockEntityRenderState	lightCoords	yes	yes
field_6279	net/minecraft/world/entity/LivingEntity	swingTime	yes	yes
field_63198	net/minecraft/server/permissions/PermissionLevel	GAMEMASTERS	yes	yes
field_63398	net/minecraft/world/item/SwingAnimationType	NONE	yes	yes
field_63633	net/minecraft/core/component/DataComponents	SWING_ANIMATION	yes	yes
field_64356	net/minecraft/world/entity/Entity	needsSync	yes	yes
field_7192	net/minecraft/world/entity/item/FallingBlockEntity	time	yes	yes
field_7193	net/minecraft/world/entity/item/FallingBlockEntity	dropItem	yes	yes
field_7194	net/minecraft/world/entity/item/FallingBlockEntity	blockData	yes	yes
field_7574	net/minecraft/world/entity/projectile/arrow/AbstractArrow	shakeTime	yes	yes
field_7576	net/minecraft/world/entity/projectile/arrow/AbstractArrow	inGroundTime	yes	yes
field_8037	net/minecraft/world/item/ItemStack	EMPTY	yes	yes
field_9229	net/minecraft/world/level/Level	random	yes	yes
