intermediary	named_1.21.11
class_5617	net.minecraft.client.renderer.entity.EntityRendererProvider
class_5618	net.minecraft.client.renderer.entity.EntityRendererProvider$Context
class_5619	net.minecraft.client.renderer.entity.EntityRenderers
class_5819	net.minecraft.util.RandomSource
class_636	net.minecraft.client.multiplayer.MultiPlayerGameMode
class_638	net.minecraft.client.multiplayer.ClientLevel
class_7225	net.minecraft.core.HolderLookup
class_742	net.minecraft.client.player.AbstractClientPlayer
class_746	net.minecraft.client.player.LocalPlayer
class_759	net.minecraft.client.renderer.ItemInHandRenderer
class_7706	net.minecraft.world.item.CreativeModeTabs
class_7833	com.mojang.math.Axis
class_7874	net.minecraft.core.HolderLookup$Provider
class_7923	net.minecraft.core.registries.BuiltInRegistries
class_7924	net.minecraft.core.registries.Registries
class_811	net.minecraft.world.item.ItemDisplayContext
class_827	net.minecraft.client.renderer.blockentity.BlockEntityRenderer
class_8710	net.minecraft.network.protocol.common.custom.CustomPacketPayload
class_897	net.minecraft.client.renderer.entity.EntityRenderer
class_9109	net.minecraft.world.entity.projectile.ProjectileDeflection
class_9129	net.minecraft.network.RegistryFriendlyByteBuf
class_9135	net.minecraft.network.codec.ByteBufCodecs
class_9139	net.minecraft.network.codec.StreamCodec
class_9154	net.minecraft.network.protocol.common.custom.CustomPacketPayload$Type
class_9222	net.minecraft.network.syncher.SynchedEntityData$Builder
class_9279	net.minecraft.world.item.component.CustomData
class_9280	net.minecraft.world.item.component.CustomModelData
class_9334	net.minecraft.core.component.DataComponents
method_1006	contains
method_10063	asLong
method_10067	west
method_10069	offset
method_10072	south
method_10074	below
method_10078	east
method_10079	relative
method_10084	above
method_10092	of
method_10093	relative
method_10095	north
method_1011	deflate
method_10123	newBlockEntity
method_1014	inflate
method_10144	toYRot
method_10148	getStepX
method_10150	fromYRot
method_10151	getName
method_10153	getOpposite
method_10164	getStepY
method_10165	getStepZ
method_10168	byName
method_1019	add
method_1020	subtract
method_1021	scale
method_1022	distanceTo
method_10230	register
method_1025	distanceToSqr
method_1026	dot
method_10260	getZ
method_10263	getX
method_10264	getY
method_1027	lengthSqr
method_1029	normalize
method_1030	directionFromRotation
method_1031	add
method_1033	length
method_1036	cross
method_10551	remove
method_10556	putBoolean
method_10569	putInt
method_1073	empty
method_10804	writeVarInt
method_10816	readVarInt
method_1084	or
method_1097	optimize
method_11007	saveAdditional
method_11010	getBlockState
method_11014	loadAdditional
method_11016	getBlockPos
method_1110	isEmpty
method_11654	getValue
method_11657	setValue
method_11664	any
method_11667	add
method_12778	set
method_12789	get
method_12791	defineId
method_1336	setColor
method_1434	isDown
method_1436	consumeClick
method_14363	teleport
method_14364	send
method_14491	onResourceManagerReload
method_14571	getPlayers
method_14602	getPlayer
method_1483	getSoundManager
method_15349	atan2
method_15393	wrapDegrees
method_1551	getInstance
method_16194	empty
method_16887	getUpdateTag
method_16896	tick
method_17681	getBbWidth
method_17682	getBbHeight
method_17687	sized
method_17742	clip
method_17777	getBlockPos
method_17780	getDirection
method_17783	getType
method_17784	getLocation
method_18075	getEntityHitResult
method_18112	entitiesForRendering
method_18376	getPose
method_18381	getEyeHeight
method_18798	getDeltaMovement
method_18799	setDeltaMovement
method_18800	setDeltaMovement
method_18804	expandTowards
method_20812	getBlockCollisions
method_22335	getRawBrightness
method_22348	canSeeSkyFromBelowWater
method_22488	noOcclusion
method_22903	pushPose
method_22904	translate
method_22905	scale
method_22907	mulPose
method_22909	popPose
method_22913	setUv
method_22922	setOverlay
method_23093	isVisible
method_23317	getX
method_23318	getY
method_23321	getZ
method_23481	setDown
method_23886	isDarkOutside
method_24515	blockPosition
method_24830	setOnGround
method_24852	getShade
method_24876	stop
method_24953	atCenterOf
method_25294	fill
method_26204	getBlock
method_26205	getMapColor
method_26214	getDestroySpeed
method_26215	isAir
method_26220	getCollisionShape
method_26225	canOcclude
method_26234	isCollisionShapeFullBlock
method_26403	defaultMapColor
method_27299	clientTrackingRange
method_27300	updateInterval
method_27852	is
method_27909	getAllEntities
method_27983	dimension
method_2910	startDestroyBlock
method_29179	create
method_2925	stopDestroyBlock
method_29998	firstPerson
method_30002	overworld
method_30229	setPortalCooldown
method_30230	isOnPortalCooldown
method_30349	registryAccess
method_30948	canBeCollidedWith
method_30949	canCollideWith
method_31472	discard
method_31481	isRemoved
method_31548	getInventory
method_31574	is
method_31600	getMaxY
method_31607	getMinY
method_31709	hasBlockEntity
method_31710	mapColor
method_31746	shouldBeSaved
method_32173	register
method_3228	renderArmWithItem
method_3233	renderItem
method_33133	isEmpty
method_33571	getEyePosition
method_36454	getYRot
method_36455	getXRot
method_36456	setYRot
method_36457	setXRot
method_3738	getAllLevels
method_3760	getPlayerList
method_38235	getUpdatePacket
method_38244	saveWithoutMetadata
method_38585	create
method_3933	shouldRender
method_3936	submit
method_40005	fall
method_43047	create
method_43055	nextLong
method_43058	nextDouble
method_43470	literal
method_45421	accept
method_46416	translate
method_46651	copyWithCount
method_47908	createVariableRangeEvent
method_4793	isStopped
method_47983	wrapAsHolder
method_48105	teleportTo
method_4870	stop
method_4873	play
method_49108	canBeHitByProjectile
method_49638	containing
method_51421	guiWidth
method_51443	guiHeight
method_51469	level
method_53002	writeInt
method_53969	codec
method_54094	simpleCodec
method_5431	setChanged
method_5449	dropItemStack
method_5477	getName
method_55765	useItemOn
method_55766	useWithoutItem
method_5624	isSprinting
method_5628	getId
method_5636	setYBodyRot
method_56431	unit
method_56434	composite
method_56435	composite
method_56438	ofMember
method_56479	type
method_5652	addAdditionalSaveData
method_5667	getUUID
method_56824	addVertex
method_56912	define
method_5693	defineSynchedData
method_57008	consume
method_5705	getViewYRot
method_5731	teleport
method_57349	component
method_57379	set
method_5738	removeTag
method_57381	remove
method_5739	distanceTo
method_5745	pick
method_57456	of
method_57461	copyTag
method_5749	readAdditionalSaveData
method_5752	getTags
method_5765	isPassenger
method_5768	kill
method_5773	tick
method_5780	addTag
method_5782	isVehicle
method_5783	playSound
method_5805	isAlive
method_5808	snapTo
method_58149	getNearestViewDirection
method_5828	getViewVector
method_5829	getBoundingBox
method_5836	getEyePosition
method_5847	setYHeadRot
method_5848	stopRiding
method_5858	distanceToSqr
method_5859	teleportTo
method_5863	isPickable
method_58694	get
method_5875	setNoGravity
method_5901	noSummon
method_5903	of
method_5904	noSave
method_5905	build
method_5928	getOpposite
method_59860	hitTargetOrDeflectSelf
method_59922	getRandom
method_5998	getItemInHand
method_6047	getMainHandItem
method_60511	playSound
method_60655	fromNamespaceAndPath
method_6068	getMainArm
method_6075	releaseUsingItem
method_6079	getOffhandItem
method_60803	setLight
method_60831	setNormal
method_62354	extractRenderState
method_63500	setId
method_63685	useBlockDescriptionPrefix
method_63686	setId
method_64397	hurtServer
method_64615	onRemoval
method_65058	setInGround
method_65096	sendParticles
method_65325	put
method_65598	updateForTopItem
method_65604	submit
method_65696	type
method_65698	bake
method_65910	shouldInstantlyReplaceVisibleItem
method_66347	getEntity
method_66388	affectNeighborsAfterRemoval
method_67233	getClientLeafTintColor
method_67675	leftHand
method_68083	getIntOr
method_68566	getBooleanOr
method_68878	isCreative
method_71426	read
method_71428	getStringOr
method_71433	getBooleanOr
method_71440	getLong
method_71466	putLong
method_71468	store
method_71469	putString
method_71472	putBoolean
method_72175	getExtents
method_73183	level
method_73188	getVisualRotationYInDegrees
method_73189	position
method_7325	isSpectator
method_7328	drop
method_73483	submitCustomGeometry
method_7353	displayClientMessage
method_7394	add
method_74331	extractRenderState
method_74698	register
method_7485	shoot
method_75037	permissions
method_75260	getGameTime
method_75994	entityCutoutNoCull
method_76002	entityTranslucentEmissive
method_76333	getKnownSpeed
method_7836	use
method_7888	inventoryTick
method_7889	stacksTo
method_7909	getItem
method_7939	setCount
method_7960	isEmpty
method_8042	getHorizontalDirection
method_8320	getBlockState
method_8321	getBlockEntity
method_8333	getEntities
method_8335	getEntities
method_8390	getEntitiesOfClass
method_8406	addParticle
method_8413	sendBlockUpdated
method_8477	isLoaded
method_8503	getServer
method_8532	getDayTime
method_8587	noCollision
method_8608	isClientSide
method_8649	addFreshEntity
method_9207	getPlayerOrException
method_9211	getServer
method_9226	sendSuccess
method_9247	literal
method_9515	createBlockStateDefinition
method_9530	getShape
method_9541	box
method_9549	getCollisionShape
method_9564	defaultBlockState
method_9590	registerDefaultState
method_9595	getStateDefinition
method_9604	getRenderShape
method_9605	getStateForPlacement
method_9626	sound
method_9629	strength
method_9637	of
method_989	move
method_992	clip
method_994	intersects
field_10027	END_PORTAL
field_10260	SPAWNER
field_10316	NETHER_PORTAL
field_10398	END_PORTAL_FRAME
field_10613	END_GATEWAY
field_11033	DOWN
field_11034	EAST
field_11035	SOUTH
field_11036	UP
field_11039	WEST
field_11043	NORTH
field_11233	SQUID_INK
field_11458	MODEL
field_11533	METAL
field_11863	level
field_11867	worldPosition
field_12481	HORIZONTAL_FACING
field_1332	BLOCK
field_13323	BOOLEAN
field_13326	STRING
field_13327	INT
field_1347	ANY
field_1350	z
field_1351	y
field_1352	x
field_1353	ZERO
field_13987	connection
field_14140	player
field_14188	CLIENT_RESOURCES
field_15248	PLAYERS
field_15979	WOOL
field_16008	NONE
field_16011	col
field_1668	KEYSYM
field_1687	level
field_1690	options
field_1724	player
field_17559	OUTLINE
field_1761	gameMode
field_17715	MISC
field_1886	keyAttack
field_18936	relative
field_1904	keyUse
field_21444	NO_OVERLAY
field_21466	CONSUME
field_23190	REVERSE_PORTAL
field_24671	CODEC
field_25179	OVERWORLD
field_25180	NETHER
field_25181	END
field_3712	minecraft
field_40197	FUNCTIONAL_BLOCKS
field_40714	XP
field_40716	YP
field_40718	ZP
field_41060	TOOLS_AND_UTILITIES
field_41172	SOUND_EVENT
field_41175	BLOCK
field_41177	ENTITY_TYPE
field_41178	ITEM
field_41181	BLOCK_ENTITY_TYPE
field_41197	ITEM
field_41254	BLOCK
field_41266	ENTITY_TYPE
field_4315	NONE
field_4321	FIRST_PERSON_LEFT_HAND
field_4322	FIRST_PERSON_RIGHT_HAND
field_48347	NONE
field_48547	BOOL
field_49628	CUSTOM_DATA
field_49637	CUSTOM_MODEL_DATA
field_52247	PLACE_PORTAL_TICKET
field_52422	SUCCESS_SERVER
field_52423	TRY_WITH_EMPTY_HAND
field_5439	x
field_5440	attenuation
field_5441	pitch
field_5442	volume
field_5446	looping
field_5449	z
field_5450	y
field_5451	delay
field_5478	NONE
field_55453	ID_MAPPER
field_5808	MAIN_HAND
field_5811	PASS
field_5812	SUCCESS
field_5814	FAIL
field_5960	noPhysics
field_5969	zo
field_6011	entityData
field_6014	xo
field_6017	fallDistance
field_6036	yo
field_61820	lightCoords
field_6183	RIGHT
field_6229	oAttackAnim
field_6251	attackAnim
field_6252	swinging
field_62676	lightCoords
field_6279	swingTime
field_63198	GAMEMASTERS
field_63398	NONE
field_63633	SWING_ANIMATION
field_64356	needsSync
field_7192	time
field_7193	dropItem
field_7194	blockData
field_7574	shakeTime
field_7576	inGroundTime
field_8037	EMPTY
field_9229	random
