intermediary	named_1.21.11	in_26.2	hint
class_2754	net/minecraft/world/level/block/state/properties/EnumProperty	yes	
class_2767	net/minecraft/network/protocol/game/ClientboundSoundPacket	yes	
class_2769	net/minecraft/world/level/block/state/properties/Property	yes	
class_2940	net/minecraft/network/syncher/EntityDataAccessor	yes	
class_2943	net/minecraft/network/syncher/EntityDataSerializers	yes	
class_2945	net/minecraft/network/syncher/SynchedEntityData	yes	
class_2960	net/minecraft/resources/Identifier	yes	
class_304	net/minecraft/client/KeyMapping	yes	
class_307	com/mojang/blaze3d/platform/InputConstants$Type	yes	
class_310	net/minecraft/client/Minecraft	yes	
class_3218	net/minecraft/server/level/ServerLevel	yes	
class_3222	net/minecraft/server/level/ServerPlayer	yes	
class_3264	net/minecraft/server/packs/PackType	yes	
class_3300	net/minecraft/server/packs/resources/ResourceManager	yes	
class_332	net/minecraft/client/gui/GuiGraphics	NO	
class_3414	net/minecraft/sounds/SoundEvent	yes	
class_3419	net/minecraft/sounds/SoundSource	yes	
class_3532	net/minecraft/util/Mth	yes	
class_3620	net/minecraft/world/level/material/MapColor	yes	
class_3675	com/mojang/blaze3d/platform/InputConstants	yes	
class_3726	net/minecraft/world/phys/shapes/CollisionContext	yes	
class_3959	net/minecraft/world/level/ClipContext	yes	
class_3960	net/minecraft/world/level/ClipContext$Block	yes	
class_3965	net/minecraft/world/phys/BlockHitResult	yes	
class_3966	net/minecraft/world/phys/EntityHitResult	yes	
class_4587	com/mojang/blaze3d/vertex/PoseStack	yes	
class_4588	com/mojang/blaze3d/vertex/VertexConsumer	yes	
class_4604	net/minecraft/client/renderer/culling/Frustum	yes	
class_4608	net/minecraft/client/renderer/texture/OverlayTexture	yes	
class_4665	com/mojang/blaze3d/vertex/PoseStack$Pose	yes	
class_4970	net/minecraft/world/level/block/state/BlockBehaviour	yes	
class_5321	net/minecraft/resources/ResourceKey	yes	
class_5454	net/minecraft/world/level/portal/TeleportTransition	yes	
class_5529	net/minecraft/world/entity/Entity$RemovalReason	yes	
class_5614	net/minecraft/client/renderer/blockentity/BlockEntityRendererProvider	yes	
class_5615	net/minecraft/client/renderer/blockentity/BlockEntityRendererProvider$Context	yes	
class_5617	net/minecraft/client/renderer/entity/EntityRendererProvider	yes	
class_5618	net/minecraft/client/renderer/entity/EntityRendererProvider$Context	yes	
class_5619	net/minecraft/client/renderer/entity/EntityRenderers	yes	
class_5819	net/minecraft/util/RandomSource	yes	
class_636	net/minecraft/client/multiplayer/MultiPlayerGameMode	yes	
class_638	net/minecraft/client/multiplayer/ClientLevel	yes	
class_7225	net/minecraft/core/HolderLookup	yes	
class_742	net/minecraft/client/player/AbstractClientPlayer	yes	
class_746	net/minecraft/client/player/LocalPlayer	yes	
class_759	net/minecraft/client/renderer/ItemInHandRenderer	yes	
class_7706	net/minecraft/world/item/CreativeModeTabs	yes	
class_7833	com/mojang/math/Axis	yes	
class_7874	net/minecraft/core/HolderLookup$Provider	yes	
class_7923	net/minecraft/core/registries/BuiltInRegistries	yes	
class_7924	net/minecraft/core/registries/Registries	yes	
class_811	net/minecraft/world/item/ItemDisplayContext	yes	
class_827	net/minecraft/client/renderer/blockentity/BlockEntityRenderer	yes	
class_8710	net/minecraft/network/protocol/common/custom/CustomPacketPayload	yes	
class_897	net/minecraft/client/renderer/entity/EntityRenderer	yes	
class_9109	net/minecraft/world/entity/projectile/ProjectileDeflection	yes	
class_9129	net/minecraft/network/RegistryFriendlyByteBuf	yes	
class_9135	net/minecraft/network/codec/ByteBufCodecs	yes	
class_9139	net/minecraft/network/codec/StreamCodec	yes	
class_9154	net/minecraft/network/protocol/common/custom/CustomPacketPayload$Type	yes	
class_9222	net/minecraft/network/syncher/SynchedEntityData$Builder	yes	
class_9279	net/minecraft/world/item/component/CustomData	yes	
class_9280	net/minecraft/world/item/component/CustomModelData	yes	
class_9334	net/minecraft/core/component/DataComponents	yes	
